date,primary_type,district,arrest,year
2005-09-29 12:50:00+00:00,THEFT,1,False,2005
2022-08-19 01:30:00+00:00,BATTERY,1,True,2022
2010-06-16 07:32:00+00:00,BATTERY,1,True,2010
2012-01-13 23:50:00+00:00,ASSAULT,2,False,2012
2002-09-27 20:48:00+00:00,THEFT,2,False,2002
2018-01-14 03:00:00+00:00,OTHER OFFENSE,2,False,2018
2021-08-10 07:30:00+00:00,ROBBERY,2,False,2021
2023-12-22 16:30:00+00:00,BURGLARY,3,False,2023
2013-07-02 15:30:00+00:00,BATTERY,3,False,2013
2004-01-03 16:00:00+00:00,CRIMINAL DAMAGE,3,False,2004
2006-02-18 19:45:00+00:00,PUBLIC PEACE VIOLATION,3,True,2006
2008-07-15 04:10:00+00:00,CRIM SEXUAL ASSAULT,3,False,2008
2007-03-12 17:55:27+00:00,ROBBERY,3,False,2007
2003-05-29 21:30:00+00:00,THEFT,4,False,2003
2016-06-19 15:18:00+00:00,WEAPONS VIOLATION,4,True,2016
2010-02-17 23:59:00+00:00,BATTERY,4,False,2010
2008-10-02 15:30:00+00:00,CRIMINAL TRESPASS,4,False,2008
2021-10-01 18:00:00+00:00,BATTERY,4,False,2021
2009-03-06 19:05:00+00:00,BATTERY,4,False,2009
2004-10-30 18:15:00+00:00,CRIMINAL DAMAGE,5,False,2004
2003-07-12 06:00:00+00:00,OTHER OFFENSE,6,False,2003
2003-06-27 22:34:55+00:00,BATTERY,6,False,2003
2007-07-28 03:30:00+00:00,CRIMINAL DAMAGE,7,True,2007
2007-05-15 07:13:00+00:00,CRIMINAL DAMAGE,7,False,2007
2002-03-04 16:40:00+00:00,NARCOTICS,7,True,2002
2009-08-11 00:21:00+00:00,NARCOTICS,7,True,2009
2011-03-27 15:23:00+00:00,NARCOTICS,7,True,2011
2009-07-15 19:00:00+00:00,BATTERY,8,False,2009
2006-06-03 19:15:00+00:00,BATTERY,8,True,2006
2002-12-14 08:00:00+00:00,THEFT,8,False,2002
2017-01-02 12:45:00+00:00,THEFT,8,False,2017
2009-11-21 21:00:00+00:00,CRIMINAL DAMAGE,8,False,2009
2002-12-13 16:24:43+00:00,BATTERY,9,True,2002
2003-06-30 13:00:00+00:00,THEFT,9,False,2003
2017-12-18 23:02:00+00:00,CRIMINAL TRESPASS,10,True,2017
2003-03-31 17:00:00+00:00,THEFT,11,False,2003
2014-09-02 23:24:00+00:00,CRIMINAL DAMAGE,11,False,2014
2001-11-02 12:58:00+00:00,CRIMINAL DAMAGE,12,True,2001
2023-01-16 00:00:00+00:00,MOTOR VEHICLE THEFT,12,False,2023
2020-04-07 12:40:00+00:00,THEFT,12,False,2020
2017-01-17 20:00:00+00:00,ROBBERY,12,False,2017
2011-07-10 17:00:00+00:00,THEFT,12,False,2011
2012-03-13 12:00:00+00:00,THEFT,14,False,2012
2002-09-29 14:44:00+00:00,THEFT,14,False,2002
2023-05-10 12:00:00+00:00,THEFT,14,False,2023
2002-10-14 12:00:00+00:00,DECEPTIVE PRACTICE,14,False,2002
2016-06-16 19:00:00+00:00,OTHER OFFENSE,14,False,2016
2013-08-24 01:00:00+00:00,THEFT,15,False,2013
2014-12-27 16:30:00+00:00,BURGLARY,16,False,2014
2023-02-13 15:30:00+00:00,CRIMINAL DAMAGE,16,False,2023
2020-02-23 13:28:00+00:00,CRIMINAL DAMAGE,16,False,2020
2003-05-29 11:25:00+00:00,THEFT,16,False,2003
2005-12-15 12:00:00+00:00,THEFT,16,False,2005
2007-02-20 10:35:00+00:00,OTHER OFFENSE,16,False,2007
2009-02-26 17:00:00+00:00,CRIMINAL TRESPASS,17,False,2009
2007-11-26 11:41:00+00:00,DECEPTIVE PRACTICE,17,False,2007
2016-03-23 18:14:00+00:00,THEFT,18,False,2016
2023-08-19 23:30:00+00:00,MOTOR VEHICLE THEFT,18,False,2023
2022-07-14 20:15:00+00:00,BATTERY,19,False,2022
2002-07-09 19:00:00+00:00,ASSAULT,1,False,2002
2006-10-12 20:15:00+00:00,CRIMINAL TRESPASS,1,True,2006
2024-04-19 15:00:00+00:00,THEFT,24,False,2024
2002-02-15 16:05:52+00:00,BATTERY,24,False,2002
2011-06-24 08:00:00+00:00,OFFENSE INVOLVING CHILDREN,24,False,2011
2001-11-11 19:33:01+00:00,ASSAULT,24,False,2001
2006-02-05 09:06:00+00:00,NARCOTICS,24,True,2006
2010-08-21 01:30:00+00:00,CRIMINAL DAMAGE,25,False,2010
2023-09-14 02:00:00+00:00,BATTERY,25,False,2023
2003-12-15 18:00:00+00:00,BURGLARY,25,False,2003
2015-04-18 21:28:00+00:00,THEFT,25,True,2015
2023-05-10 07:39:00+00:00,BATTERY,25,True,2023
2023-05-06 19:30:00+00:00,THEFT,1,False,2023
2018-07-13 11:30:00+00:00,THEFT,1,False,2018
2024-05-06 02:42:00+00:00,CRIMINAL DAMAGE,1,False,2024
2003-03-24 17:00:00+00:00,DECEPTIVE PRACTICE,1,True,2003
2004-07-23 14:45:00+00:00,BATTERY,2,True,2004
2004-07-02 21:30:00+00:00,CRIMINAL DAMAGE,2,False,2004
2009-02-17 11:05:00+00:00,NARCOTICS,2,True,2009
2001-11-29 06:05:00+00:00,BATTERY,3,False,2001
2006-02-13 20:33:00+00:00,CRIMINAL DAMAGE,3,False,2006
2003-08-04 19:45:00+00:00,CRIMINAL DAMAGE,3,False,2003
2008-06-12 06:00:00+00:00,BATTERY,3,False,2008
2015-04-10 18:00:00+00:00,CRIMINAL DAMAGE,3,False,2015
2007-06-22 14:00:00+00:00,BATTERY,4,True,2007
2006-10-06 14:00:00+00:00,OFFENSE INVOLVING CHILDREN,4,False,2006
2009-04-18 19:30:00+00:00,THEFT,4,False,2009
2018-01-08 20:30:00+00:00,BATTERY,4,False,2018
2007-01-27 21:35:00+00:00,NARCOTICS,4,True,2007
2002-01-22 12:24:20+00:00,DECEPTIVE PRACTICE,4,False,2002
2006-02-27 21:37:58+00:00,NARCOTICS,5,True,2006
2017-06-09 15:25:00+00:00,CRIMINAL DAMAGE,5,False,2017
2008-10-21 17:00:00+00:00,THEFT,5,False,2008
2018-09-03 19:00:00+00:00,BATTERY,6,True,2018
2010-12-31 05:10:00+00:00,THEFT,6,False,2010
2006-09-24 09:34:00+00:00,THEFT,6,False,2006
2009-09-01 16:00:00+00:00,ROBBERY,7,False,2009
2015-04-13 13:20:00+00:00,OTHER OFFENSE,7,True,2015
2010-03-21 02:53:00+00:00,ROBBERY,7,False,2010
2020-07-26 00:41:00+00:00,BATTERY,7,False,2020
2025-01-02 15:30:00+00:00,THEFT,8,False,2025
2004-09-22 11:35:00+00:00,PROSTITUTION,8,True,2004
2017-06-15 13:17:00+00:00,THEFT,8,False,2017
2022-10-28 12:20:00+00:00,THEFT,8,False,2022
2004-11-04 18:00:00+00:00,MOTOR VEHICLE THEFT,8,False,2004
2013-05-27 13:00:00+00:00,THEFT,9,False,2013
2016-07-16 23:00:00+00:00,THEFT,9,False,2016
2007-07-13 16:55:59+00:00,CRIMINAL DAMAGE,9,False,2007
2007-02-07 18:40:00+00:00,THEFT,9,False,2007
2024-03-22 04:28:00+00:00,ROBBERY,9,False,2024
2019-04-01 22:00:00+00:00,THEFT,9,False,2019
2019-06-03 18:44:00+00:00,CRIMINAL TRESPASS,9,True,2019
2024-10-23 23:00:00+00:00,CRIMINAL DAMAGE,10,False,2024
